catégorie,COUNTA de catégorie,,,
people_portrait,6160,,,
people_,2283,,,
people_young,758,,,
others_,92,,,
people_group,49,,,
people_baby,47,,,
people_show,37,,,Somme des catégories acec le mot people
outdoor_,34,,,9334
text_mag,21,,,
object_sculpture,9,,,
text_sign,7,,,
people_many,7,,,
abstract_nonphoto,6,,,
people_crowd,2,,,
outdoor_road,2,,,
abstract_texture,2,,,
abstract_rect,2,,,
trans_car,1,,,
text_,1,,,
plant_tree,1,,,
plant_leaves,1,,,
outdoor_street,1,,,
indoor_venue,1,,,
dark_fire,1,,,
building_pillar,1,,,
Total général,9526,,,