mots-clés 2,COUNTA de mots-clés 2
human face,2423
indoor,1190
smile,1185
wall,1025
man,665
clothing,489
woman,376
face,341
person,328
portrait,178
outdoor,159
eyes,97
necktie,76
fashion accessory,76
suit,62
glasses,51
girl,49
tree,37
text,36
fashion,36
shirt,31
lipstick,29
jacket,29
toddler,27
tie,25
sketch,23
boy,23
black and white,22
necklace,19
headshot,19
sky,16
human beard,16
grass,15
sitting,14
musical instrument,12
wearing,11
building,11
selfie,10
ground,10
drawing,10
concert,10
scarf,9
hat,9
baby,9
abstract,9
posing,8
microphone,8
coat,8
jeans,7
young,6
smiling,6
music,6
dress,6
footwear,5
floor,5
blond,5
window,4
water,4
watch,4
trousers,4
little,4
holding,4
guitar,4
green,4
food,4
bangs,4
table,3
road,3
red,3
flower,3
dance,3
curtain,3
child,3
carnivore,3
yellow,2
sun hat,2
striped,2
snow,2
sleeve,2
screenshot,2
ringlet,2
racket,2
piano,2
phone,2
jheri curl,2
car,2
bride,2
brassiere,2
blue,2
bed,2
wooden,1
vehicle,1
undershirt,1
trumpet,1
tattoo,1
tartan,1
t-shirt,1
swimming,1
stone,1
statue,1
standing,1
stage,1
sport,1
soft drink,1
sign,1
shelf,1
scene,1
purple,1
poster,1
plastic,1
painting,1
night,1
musical keyboard,1
miniskirt,1
military uniform,1
layered hair,1
laptop,1
land vehicle,1
kitchen,1
invertebrate,1
high heels,1
helmet,1
handwriting,1
graduation,1
golf,1
goggles,1
furniture,1
fedora,1
fast food,1
eating,1
dining table,1
design,1
crop,1
colorful,1
christmas tree,1
chest,1
cellphone,1
brick,1
bottle,1
book,1
black,1
bench,1
beard,1
beach,1
band,1
ballet,1
animal,1
airplane,1
afro,1
,0
Total général,9522